Date,Open,High,Low,Close,Volume,Volume_ratio_vs_5days,Announcement,hawkish_dovish_ratio,net_sentiment_score,negative_proportion,neutral_proportion,positive_proportion,sentiment_label
10/04/2018,2656.8701171875,2665.449951171875,2635.780029296875,2638.409912109375,3579130000,1.0801777233734846,0,0.0,0.0,0.0,0.0,0.0,
11/04/2018,2642.18994140625,2661.429931640625,2639.25,2643.889892578125,3054520000,0.939701377194186,0,0.0,0.0,0.0,0.0,0.0,
12/04/2018,2663.989990234375,2674.719970703125,2653.830078125,2653.830078125,3045330000,0.9476670622890542,0,0.0,0.0,0.0,0.0,0.0,
13/04/2018,2656.300048828125,2680.260009765625,2645.050048828125,2676.89990234375,2988540000,0.9491249175858727,0,0.0,0.0,0.0,0.0,0.0,
16/04/2018,2677.840087890625,2686.489990234375,2665.159912109375,2670.10009765625,3020740000,0.9627390163090107,0,0.0,0.0,0.0,0.0,0.0,
17/04/2018,2706.389892578125,2713.340087890625,2692.050048828125,2692.739990234375,3286190000,1.0672691441295148,0,0.0,0.0,0.0,0.0,0.0,
18/04/2018,2708.639892578125,2717.489990234375,2703.6298828125,2710.110107421875,3412030000,1.0829895326744465,0,0.0,0.0,0.0,0.0,0.0,
19/04/2018,2693.1298828125,2702.840087890625,2681.89990234375,2701.159912109375,3375120000,1.0493066428231221,0,0.0,0.0,0.0,0.0,0.0,
20/04/2018,2670.139892578125,2693.93994140625,2660.610107421875,2692.56005859375,3428260000,1.0374620059870454,0,0.0,0.0,0.0,0.0,0.0,
23/04/2018,2670.2900390625,2682.860107421875,2657.989990234375,2675.39990234375,3030390000,0.9165230562079943,0,0.0,0.0,0.0,0.0,0.0,
24/04/2018,2634.56005859375,2683.550048828125,2617.320068359375,2680.800048828125,3716020000,1.0954072145559852,0,0.0,0.0,0.0,0.0,0.0,
25/04/2018,2639.39990234375,2645.300048828125,2612.669921875,2634.919921875,3563680000,1.0411915292456762,0,0.0,0.0,0.0,0.0,0.0,
26/04/2018,2666.93994140625,2676.47998046875,2647.159912109375,2651.64990234375,3690920000,1.0588280518920183,0,0.0,0.0,0.0,0.0,0.0,
27/04/2018,2669.909912109375,2677.35009765625,2659.010009765625,2675.469970703125,3234510000,0.938326780973246,0,0.0,0.0,0.0,0.0,0.0,
30/04/2018,2648.050048828125,2682.8701171875,2648.0400390625,2682.510009765625,3749510000,1.0441618434009259,0,0.0,0.0,0.0,0.0,0.0,
01/05/2018,2654.800048828125,2655.27001953125,2625.409912109375,2642.9599609375,3562820000,1.000711178421521,0,0.0,0.0,0.0,0.0,0.0,
02/05/2018,2635.669921875,2660.8701171875,2631.699951171875,2654.239990234375,4047020000,1.106663574842027,0,0.0,0.0,0.0,0.0,0.0,
03/05/2018,2629.72998046875,2637.139892578125,2594.6201171875,2628.080078125,3867530000,1.0474644650267395,0,0.0,0.0,0.0,0.0,0.0,
04/05/2018,2663.419921875,2670.929931640625,2615.320068359375,2621.449951171875,3335260000,0.8984039555783977,0,0.0,0.0,0.0,0.0,0.0,
07/05/2018,2672.6298828125,2683.35009765625,2664.699951171875,2680.340087890625,3266810000,0.9034599522994075,0,0.0,0.0,0.0,0.0,0.0,
08/05/2018,2671.919921875,2676.340087890625,2655.199951171875,2670.260009765625,3745100000,1.02539629344881,0,0.0,0.0,0.0,0.0,0.0,
09/05/2018,2697.7900390625,2701.27001953125,2674.139892578125,2678.1201171875,3913650000,1.0794280781207335,0,0.0,0.0,0.0,0.0,0.0,
10/05/2018,2723.070068359375,2726.110107421875,2704.5400390625,2705.02001953125,3380640000,0.9581519896879284,0,0.0,0.0,0.0,0.0,0.0,
11/05/2018,2727.719970703125,2732.860107421875,2717.449951171875,2722.699951171875,2874850000,0.8366339659101161,0,0.0,0.0,0.0,0.0,0.0,
14/05/2018,2730.1298828125,2742.10009765625,2725.469970703125,2738.469970703125,2994360000,0.8854547390085519,0,0.0,0.0,0.0,0.0,0.0,
15/05/2018,2711.449951171875,2718.590087890625,2701.909912109375,2718.590087890625,3291190000,1.0000765739129696,0,0.0,0.0,0.0,0.0,0.0,
16/05/2018,2722.4599609375,2727.760009765625,2712.169921875,2712.6201171875,3248480000,1.0286823158652068,0,0.0,0.0,0.0,0.0,0.0,
17/05/2018,2720.1298828125,2731.9599609375,2711.360107421875,2719.7099609375,3478150000,1.0946507937606966,0,0.0,0.0,0.0,0.0,0.0,
18/05/2018,2712.969970703125,2719.5,2709.179931640625,2717.35009765625,3383270000,1.0317710096398696,0,0.0,0.0,0.0,0.0,0.0,
21/05/2018,2733.010009765625,2739.18994140625,2725.699951171875,2735.389892578125,3053480000,0.9278516545859297,0,0.0,0.0,0.0,0.0,0.0,
22/05/2018,2724.43994140625,2742.239990234375,2721.8798828125,2738.340087890625,3384140000,1.0225520198797162,0,0.0,0.0,0.0,0.0,0.0,
23/05/2018,2733.2900390625,2733.330078125,2709.5400390625,2713.97998046875,3333160000,1.0020201777275406,0,0.0,0.0,0.0,0.0,0.0,
24/05/2018,2727.760009765625,2731.969970703125,2707.3798828125,2730.93994140625,3285750000,0.9993278507037798,0,0.0,0.0,0.0,0.0,0.0,
25/05/2018,2721.330078125,2727.360107421875,2714.989990234375,2723.60009765625,3015260000,0.9380597929664337,0,0.0,0.0,0.0,0.0,0.0,
29/05/2018,2689.860107421875,2710.669921875,2676.81005859375,2705.110107421875,3743310000,1.116631327998129,0,0.0,0.0,0.0,0.0,0.0,
30/05/2018,2724.010009765625,2729.340087890625,2702.429931640625,2702.429931640625,3566490000,1.0524363534637986,0,0.0,0.0,0.0,0.0,0.0,
31/05/2018,2705.27001953125,2722.5,2700.679931640625,2720.97998046875,4241100000,1.1878560893484227,0,0.0,0.0,0.0,0.0,0.0,
